murder,negligent_manslaughter,forcible_sex,nonforcible_sex,robbery,aggravated_assault,burglary,vehicle_theft,arson,institute_id,location,year
0,0,0,0,0,0,0,0,0,109208001,noncampus,2016
0,0,0,0,0,0,0,0,0,109208002,noncampus,2016
0,0,0,0,0,0,0,0,0,109208003,noncampus,2016
,,,,,,,,,109208004,noncampus,2016
0,0,0,0,0,0,0,0,0,109350001,noncampus,2016
0,0,0,0,0,0,0,0,0,109651001,noncampus,2016
0,0,0,0,0,0,0,0,0,109651002,noncampus,2016
,,,,,,,,,109721001,noncampus,2016
,,,,,,,,,109730001,noncampus,2016
0,0,1,0,0,0,2,1,0,109785001,noncampus,2016
,,,,,,,,,109785002,noncampus,2016
,,,,,,,,,109785004,noncampus,2016
,,,,,,,,,109785005,noncampus,2016
,,,,,,,,,109785006,noncampus,2016
,,,,,,,,,109785007,noncampus,2016
,,,,,,,,,109785008,noncampus,2016
0,0,0,0,0,0,0,2,0,109819001,noncampus,2016
,,,,,,,,,109907001,noncampus,2016
,,,,,,,,,109934001,noncampus,2016
0,0,0,0,0,0,0,0,0,110060001,noncampus,2016
0,0,0,0,0,0,2,0,0,110097001,noncampus,2016
,,,,,,,,,110097013,noncampus,2016
,,,,,,,,,110097015,noncampus,2016
,,,,,,,,,110194001,noncampus,2016
,,,,,,,,,110219001,noncampus,2016
,,,,,,,,,110246001,noncampus,2016
,,,,,,,,,110307001,noncampus,2016
,,,,,,,,,110316001,noncampus,2016
,,,,,,,,,110334001,noncampus,2016
,,,,,,,,,110334002,noncampus,2016
0,0,0,0,0,0,0,0,0,110361001,noncampus,2016
,,,,,,,,,110361007,noncampus,2016
,,,,,,,,,110361008,noncampus,2016
,,,,,,,,,110361009,noncampus,2016
,,,,,,,,,110361010,noncampus,2016
0,0,0,0,1,0,0,0,0,110370001,noncampus,2016
0,0,0,0,0,0,1,0,0,110370002,noncampus,2016
,,,,,,,,,110398001,noncampus,2016
0,0,0,0,0,0,0,0,0,110404001,noncampus,2016
0,0,0,0,0,0,0,0,0,110413001,noncampus,2016
,,,,,,,,,110413002,noncampus,2016
,,,,,,,,,110413004,noncampus,2016
,,,,,,,,,110413005,noncampus,2016
0,0,0,0,0,0,0,0,0,110413006,noncampus,2016
0,0,4,0,0,0,4,0,0,110422001,noncampus,2016
,,,,,,,,,110468001,noncampus,2016
,,,,,,,,,110468002,noncampus,2016
,,,,,,,,,110468003,noncampus,2016
,,,,,,,,,110468004,noncampus,2016
,,,,,,,,,110468005,noncampus,2016
,,,,,,,,,110468006,noncampus,2016
,,,,,,,,,110468008,noncampus,2016
,,,,,,,,,110468009,noncampus,2016
,,,,,,,,,110486001,noncampus,2016
,,,,,,,,,110495001,noncampus,2016
,,,,,,,,,110495002,noncampus,2016
,,,,,,,,,110510001,noncampus,2016
,,,,,,,,,110510002,noncampus,2016
0,0,0,0,0,0,0,0,0,110529001,noncampus,2016
0,0,5,0,0,0,4,1,0,110538001,noncampus,2016
0,0,0,0,1,2,5,4,0,110547001,noncampus,2016
0,0,0,0,3,3,6,2,0,110556001,noncampus,2016
0,0,2,0,0,0,1,0,0,110565001,noncampus,2016
,,,,,,,,,110565003,noncampus,2016
,,,,,,,,,110565004,noncampus,2016
,,,,,,,,,110565005,noncampus,2016
,,,,,,,,,110565006,noncampus,2016
0,0,0,0,0,0,0,0,0,110574001,noncampus,2016
0,0,0,0,0,0,0,0,0,110574002,noncampus,2016
0,0,0,0,0,0,0,0,0,110574003,noncampus,2016
0,0,0,0,0,0,2,0,0,110583001,noncampus,2016
0,0,0,0,0,0,0,0,0,110592001,noncampus,2016
0,0,1,0,0,0,0,0,0,110608001,noncampus,2016
0,0,4,0,1,0,1,0,0,110617001,noncampus,2016
0,0,11,1,1,2,20,17,1,110635001,noncampus,2016
,,,,,,,,,110635003,noncampus,2016
0,0,2,0,2,0,32,8,1,110644001,noncampus,2016
,,,,,,,,,110644002,noncampus,2016
0,0,0,0,0,0,0,0,0,110653001,noncampus,2016
0,0,0,0,0,1,6,0,0,110653002,noncampus,2016
0,0,18,0,2,12,28,1,0,110662001,noncampus,2016
0,0,0,0,1,0,1,1,0,110671001,noncampus,2016
0,0,1,0,1,0,3,4,0,110680001,noncampus,2016
0,0,2,0,1,4,7,6,0,110699001,noncampus,2016
0,0,0,0,0,0,1,0,0,110699002,noncampus,2016
0,0,0,0,0,0,0,0,0,110699003,noncampus,2016
0,0,0,0,0,0,1,0,0,110699004,noncampus,2016
0,0,0,0,0,0,0,2,0,110699005,noncampus,2016
0,0,8,0,0,4,3,0,0,110705001,noncampus,2016
0,0,0,0,0,2,1,2,0,110714001,noncampus,2016
,,,,,,,,,110778001,noncampus,2016
,,,,,,,,,110875001,noncampus,2016
,,,,,,,,,110918001,noncampus,2016
,,,,,,,,,111054001,noncampus,2016
,,,,,,,,,111054002,noncampus,2016
,,,,,,,,,111081001,noncampus,2016
0,0,0,0,0,0,0,0,0,111188001,noncampus,2016
,,,,,,,,,111391001,noncampus,2016
,,,,,,,,,111434001,noncampus,2016
,,,,,,,,,111461001,noncampus,2016
,,,,,,,,,111513001,noncampus,2016
,,,,,,,,,111638001,noncampus,2016
,,,,,,,,,111708001,noncampus,2016
0,0,0,0,0,0,0,0,0,111717001,noncampus,2016
,,,,,,,,,111726001,noncampus,2016
,,,,,,,,,111744001,noncampus,2016
